r_ID,Status_Description,MCAT,GPA_Science,GPA_Overall,CASPer,Gender,Ethnicity
1,Reject Before Interview,496,4,4,-0.5,Female,Asian
2,Reject Incomplete,488,2.29,2.87,,Female,White/Caucasian
3,Reject Before Interview,521,3.82,3.87,-0.65,Decline to Answer,White/Caucasian
4,Reject Before Interview,506,3.39,3.66,,Male,Hispanic
5,Reject Incomplete,498,3.25,3.54,-0.81,Female,African American
6,Reject Before Interview,509,3.95,3.96,1.11,Female,Asian
7,Withdrawn Through Match,510,3.53,3.6,-0.23,Female,African American
8,Reject Before Interview,512,3.85,3.91,-1.85,Male,Hispanic
9,Reject Before Interview,514,3.77,3.77,-0.16,Male,White/Caucasian
10,Matriculated,513,3.51,3.53,-0.45,Male,Hispanic
11,Reject Before Interview,490,2.94,3.29,-0.28,Female,African American
12,Reject After Interview,511,3.92,3.96,-0.23,Female,White/Caucasian
13,Reject Before Interview,515,3.4,3.68,-1.1,Male,White/Caucasian
14,Reject Before Interview,497,2.95,3.21,-0.81,Male,Asian
15,Reject After Interview,507,4,4,-0.95,Female,Multiple
16,Reject Incomplete,487,2.6,2.99,-1.44,Female,African American
17,Reject After Interview,510,3.4,3.53,-1.24,Male,White/Caucasian
18,Reject Before Interview,486,3.16,3.33,-1.14,Female,Asian
19,Reject Before Interview,492,3.28,3.61,-1.58,Female,Hispanic
20,Reject Incomplete,500,3.9,3.94,,Female,Hispanic
21,Reject Before Interview,504,3.27,3.47,-1.38,Male,White/Caucasian
22,Reject Before Interview,508,3.31,3.58,2.24,Female,Asian
23,Reject Before Interview,514,3.89,3.91,0.97,Male,White/Caucasian
24,Reject Incomplete,506,3.43,3.55,-1.54,Female,Asian
25,Reject Before Interview,509,3.95,3.97,0.51,Female,White/Caucasian
26,Reject Incomplete,492,3.89,3.93,-1.95,Female,Asian
27,Reject Incomplete,513,3.93,3.96,-0.35,Male,Hispanic
28,Reject Before Interview,501,3.63,3.78,0.02,Female,White/Caucasian
29,Reject Incomplete,519,4,4,0.49,Male,White/Caucasian
30,Reject Before Interview,511,3.83,3.88,-0.56,Female,White/Caucasian
31,Reject After Interview,512,4,4,1.59,Female,White/Caucasian
32,Reject After Interview,501,4,4,-0.65,Female,White/Caucasian
33,Withdrawn Through Match,519,3.76,3.82,0.27,Male,Asian
34,Reject Before Interview,507,3.98,3.86,0.09,Male,White/Caucasian
35,Reject Incomplete,480,2.67,2.87,-0.72,Female,White/Caucasian
36,Reject Incomplete,485,3.42,3.6,-0.13,Female,Hispanic
37,Reject Before Interview,513,4,4,-0.72,Male,White/Caucasian
