r_ID,Status_Description,MCAT,GPA_Science ,GPA_Overall,CASPer,Gender,Ethnicity
1,Admitted,504,3.84,3.84,-0.29,Male,Hispanic
2,Reject Before Interview,509,3.3,3.46,1.08,Male,Asian
3,Reject After Interview,513,4,4,0.07,Female,Asian
4,Reject Before Interview,519,3.03,3.44,-0.06,Male,White/Caucasian
5,Reject After Interview,504,3.13,3.46,0.14,Female,African American
6,Reject Before Interview,511,3.97,3.98,-0.5,Female,White/Caucasian
7,Reject After Interview,515,4,3.98,-0.83,Male,White/Caucasian
8,Reject Before Interview,497,3.44,3.52,-0.68,Male,White/Caucasian
9,Admitted,510,3.94,3.98,0,Male,White/Caucasian
10,Reject Before Interview,511,3.7,3.75,0.03,Female,Asian
11,Reject Before Interview,515,3.89,3.91,0.3,Female,Asian
12,Reject Before Interview,501,3.22,3.44,-0.9,Male,Hispanic
13,Reject Before Interview,503,3.51,3.68,-0.14,Male,Asian
14,Withdrawn within Match Range,516,3.66,3.85,-0.44,Female,Multiple
15,Reject Before Interview,513,3.44,3.43,1.17,Male,Hispanic
16,Reject Before Interview,494,3.84,3.87,-0.14,Male,African American
17,Reject Before Interview,487,2.92,3.24,0.73,Female,African American
18,Reject Before Interview,511,4,4,0.44,Male,Asian
19,Reject Before Interview,500,3.62,3.48,-0.44,Male,White/Caucasian
20,Reject Before Interview,492,3.05,3.23,0.44,Female,Multiple
21,Reject Before Interview,504,3.74,3.83,-0.15,Male,Asian
22,Reject Before Interview,515,4,4,0.48,Male,White/Caucasian
23,Reject Before Interview,516,3.54,3.63,0.41,Male,White/Caucasian
24,Reject Before Interview,513,3.79,3.83,0.54,Male,Multiple
25,Reject Before Interview,516,3.38,3.58,0.8,Male,Hispanic
26,Waitlist Offered,511,3.71,3.8,-0.49,Female,Asian
27,Reject Before Interview,510,4,4,-1.17,Male,Asian
28,Reject Before Interview,483,2.93,3.49,0.26,Female,Asian
29,Reject Before Interview,498,2.84,3.05,1.55,Female,White/Caucasian
30,Reject Before Interview,501,2.93,3.08,,Male,Hispanic
31,Reject Before Interview,521,4,4,0.25,Male,White/Caucasian
32,Withdrawal Before Interview,521,4,4,0.66,Male,Asian
33,Reject Before Interview,505,4,4,0.03,Female,Hispanic
34,Reject Before Interview,500,3.41,3.4,-0.95,Male,Hispanic
35,Reject After Interview,510,4,4,-1.33,Male,Hispanic
36,Reject Before Interview,514,3.33,3.6,0.22,Female,Asian
37,Admitted,502,3.69,3.82,0.2,Female,White/Caucasian
38,Reject Before Interview,508,3.67,3.82,0.51,Female,White/Caucasian
39,Reject Before Interview,498,3.2,3.41,-1.71,Female,African American
40,Reject Before Interview,510,3.35,3.43,1.79,Male,Hispanic
41,Reject Before Interview,516,3.96,3.97,0.59,Male,Asian
42,Reject Before Interview,508,4,4,0.69,Male,White/Caucasian
43,Reject Before Interview,494,3.35,3.58,0,Male,White/Caucasian
