DeIdent,Admissions_Status,Admissions_Cycle,Gender,TMDSASEthnicity,MCAT2015,Overall_GPA,Urg_Overall,UrgSci_GPA,Grad_GPA
0x143E5BDF,[REDACTED],2021,[REDACTED],[REDACTED],[REDACTED],[REDACTED],[REDACTED],[REDACTED],[REDACTED]
0x0F19F21F,Rejected Without Interview ,2021,Female,[REDACTED],505,3.11,2.96,2.67,3.74
0x11A09E71,Offered Admissions and Matriculated,2021,Female,[REDACTED],517,3.9,3.9,3.87,0
0x13FEA5C5,Rejected Without Interview ,2021,Female,[REDACTED],505,0,0,0,0
0x1455BBED,Offered Admissions and Matriculated,2021,Female,[REDACTED],523,3.79,3.79,3.61,0
0x145DF7C4,Rejected Without Interview ,2021,Female,[REDACTED],499,3.24,3.26,3.08,3
0x15FE3041,Rejected Without Interview ,2021,Female,[REDACTED],504,0,0,0,0
0x0B27E0A5,Rejected Without Interview ,2021,Male,[REDACTED],502,3.84,3.84,3.78,0
0x0EBAC799,Offered Admissions and Matriculated,2021,Male,[REDACTED],513,3.82,3.82,4,0
0x122AC5F1,Rejected Without Interview ,2021,Male,[REDACTED],512,3.26,3.26,3.05,0
0x1270CE6C,Rejected Without Interview ,2021,Male,[REDACTED],507,3.52,3.49,3.19,4
0x133037C7,Rejected Without Interview ,2021,Male,[REDACTED],508,3.29,3.26,3.07,3.5
0x13C3607B,Offered Admissions and Matriculated,2021,Male,[REDACTED],508,3.97,3.97,3.96,0
0x13CB2DCC,Rejected Without Interview ,2021,Male,[REDACTED],503,3.82,3.82,3.71,0
0x1426759C,Rejected Without Interview ,2021,Male,[REDACTED],496,3.64,3.64,3.42,0
0x14362008,Rejected Without Interview ,2021,Male,[REDACTED],510,3.83,3.83,3.83,3.83
0x14553D9D,Rejected Without Interview ,2021,Male,[REDACTED],496,3.38,3.31,3.06,3.75
0x147E982E,Offered Admissions and Matriculated,2021,Male,[REDACTED],512,3.71,3.71,3.6,0
0x14805246,Rejected Without Interview ,2021,Male,[REDACTED],502,3.11,2.89,3.11,3.79
0x148E9971,Offered Admissions and Matriculated,2021,Male,[REDACTED],511,3.2,2.95,3,4
