App Year,Application Id,Status,MCAT 2015 Highest Total,Sci Gpa,Total Gpa,CASPER Score,Gender,Race,Ethnicity
2022,3,Rejected Without Interview,500,3.92,3.95,-2.36,Female,African American,African American
2022,4,Withdrawn Through Match,509,3.72,3.89,0.08,[REDACTED],African American,African American
2022,27,Withdrawn Through Match,514,4,3.92,-0.42,[REDACTED],African American,African American
2022,30,Rejected Without Interview,501,3.84,3.93,0.97,Female,African American,African American
2022,31,Withdrawn Through Match,518,3.93,3.87,-1.32,[REDACTED],African American,African American
2022,48,Rejected Without Interview,501,3.67,3.72,-1.28,Male,African American,African American
2022,49,Withdrawn Through Match,505,3.65,3.7,-2.36,[REDACTED],African American,African American
2022,54,Withdrawn Through Match,502,3.71,3.83,-1.5,[REDACTED],African American,African American
2022,65,Withdrawn Through Match,512,3.44,3.51,-0.85,[REDACTED],African American,African American
2022,71,Withdrawn Through Match,507,4,4,0.73,[REDACTED],African American,African American
2022,89,Withdrawn Through Match,507,3.91,3.91,-1.06,[REDACTED],African American,African American
2022,133,Offered Admission - Matriculated,511,2.7,3.32,-0.62,[REDACTED],African American,African American
2022,136,Rejected Without Interview,511,3.12,3.34,-0.28,Male,African American,African American
2022,159,Rejected Without Interview,494,2.33,2.71,-0.81,Female,African American,African American
2022,232,Rejected Without Interview,505,3.42,3.45,-2.12,Male,African American,African American
2022,248,Rejected Without Interview,504,2.56,2.83,-1.71,Male,African American,African American
2022,254,Rejected Without Interview,501,3.39,3.63,-0.08,Male,African American,African American
2022,271,Rejected Without Interview,505,3.96,3.99,1.24,Female,African American,African American
2022,313,Withdrew Application Before Interview,504,3.14,3.27,-0.51,[REDACTED],African American,African American
2022,327,Rejected Without Interview,492,2.71,2.98,,Male,African American,African American
2022,342,Withdrew Application Before Interview,502,2.66,2.78,,[REDACTED],African American,African American
2022,435,Rejected Without Interview,503,2.86,3.26,-1.48,Male,African American,African American
2022,494,Rejected Without Interview,501,3.01,3.08,-0.22,Male,African American,African American
2022,500,Rejected Without Interview,504,3.49,3.67,-0.9,Female,African American,African American
2022,1956,Offered Admission - Declined,510,3.9,3.92,-1.7,Female,African American,African American
2022,577,Rejected Without Interview,507,3.23,3.29,-0.18,Female,African American,African American
