Random Unique Identifier,Admissions Decision,MCAT,GPA_Overall_Sci,Overall GPA,GPA_Grad_Total,Casper Score,Gender/Sex,Race/Ethnicity
6210,Offered Admissions-Matriculated,510,4,4,,-0.67,Female,Asian
6214,Withdrew Application After Interview,521,4,4,,-0.92,Male,Hispanic
6216,Withdrew Application After Interview,516,4,4,,0.59,Female,Hispanic
6218,Withdrew Application After Interview,515,4,4,,-1.78,Male,Hispanic
6222,Withdrew Application After Interview,513,4,4,,0.59,Male,Asian
6232,Rejected without Interview,494,4,4,,-0.78,Female,Asian
6236,Withdrew Application After Interview,512,4,4,,-0.7,Female,Hispanic
6238,Withdrew Application After Interview,509,4,4,,-1.56,Male,Hispanic
6243,Withdrew Application After Interview,502,4,4,,-1.5,Male,White/Caucasian
6253,Withdrew Application After Interview,515,4,4,,0.73,Female,Multiple
6267,Withdrew Application After Interview,507,4,4,,-0.7,Male,Hispanic
6268,Withdrew Application After Interview,509,4,4,,-0.13,Female,Multiple
6271,Withdrew Application After Interview,507,4,4,,0.73,Female,African American
6272,Withdrew Application After Interview,525,4,4,,0.3,Female,White/Caucasian
6278,Withdrew Application After Interview,515,4,4,,0.01,Male,White/Caucasian
6283,Withdrew Application After Interview,514,4,4,,0.23,Female,White/Caucasian
6286,Withdrew Application After Interview,511,4,4,,1.48,Male,White/Caucasian
6299,Declined Admissions Offer,516,4,4,,1.46,Male,Asian
6327,Declined Admissions Offer,514,4,4,,1.31,Female,Asian
6338,Rejected without Interview,520,4,4,,0.44,Female,White/Caucasian
6339,Rejected without Interview,511,4,4,,-1.06,Male,White/Caucasian
6344,Rejected without Interview,518,4,4,,,Female,White/Caucasian
6365,Declined Admissions Offer,516,4,4,,0.22,Male,White/Caucasian
6371,Rejected without Interview,516,4,4,,0.87,Female,Asian
6386,Rejected without Interview,513,4,4,,0.07,Female,Asian
6393,Rejected without Interview,512,4,4,,-0.81,Female,White/Caucasian
6396,Rejected without Interview,513,4,4,,0.57,Male,White/Caucasian
6401,Withdrew Application After Interview,523,4,4,4,0.07,Female,White/Caucasian
6406,Rejected without Interview,514,4,4,,-0.15,Female,White/Caucasian
6414,Declined Admissions Offer,517,4,4,,0.62,Male,White/Caucasian
6421,Rejected without Interview,516,4,4,,0.37,Male,White/Caucasian
6433,Offered Admissions-Matriculated,514,4,4,,0.73,Male,Hispanic
6434,Rejected without Interview,505,4,4,,-0.44,Female,Asian
6448,Rejected without Interview,506,4,4,,1.31,Female,Asian
6462,Declined Admissions Offer,519,4,4,,0.54,Male,Asian
6463,Declined Admissions Offer,526,4,4,,1.09,Female,Asian
6474,Withdrew Application After Interview,520,4,4,,0.73,Male,White/Caucasian
6475,Declined Admissions Offer,516,4,4,,1.84,Female,White/Caucasian
6487,Offered Admissions-Matriculated,520,4,4,,0.25,Male,Asian
6490,Rejected without Interview,514,4,4,,-0.99,Male,White/Caucasian
6510,Declined Admissions Offer,520,4,4,,0.41,Female,Unreported
6514,Rejected without Interview,507,4,4,,0.43,Female,White/Caucasian
6515,Rejected without Interview,525,4,4,4,,Male,White/Caucasian
6527,Rejected without Interview,522,4,4,4,-0.2,Male,Unreported
6534,Withdrew Application After Interview,511,4,4,,0.66,Female,Asian
6541,Rejected without Interview,513,4,4,,0,Female,White/Caucasian
6542,Rejected without Interview,511,4,4,4,0.99,Male,White/Caucasian
6543,Withdrew Application After Interview,518,4,4,,0.96,Female,Asian
6549,Rejected without Interview,510,4,4,,-1.49,Female,Asian
6552,Rejected without Interview,516,4,4,,-0.37,Female,White/Caucasian
6560,Rejected without Interview,520,4,4,,-0.33,Female,Asian
6578,Withdrew Application Before Interview,509,4,4,,-0.25,Female,White/Caucasian
6582,Declined Admissions Offer,522,4,4,,1.38,Female,White/Caucasian
6601,Offered Admissions-Matriculated,509,4,4,,1.81,Female,Asian
6602,Rejected without Interview,516,4,4,,-0.78,Female,Asian
6621,Rejected without Interview,513,4,4,,1.26,Female,White/Caucasian
6622,Declined Admissions Offer,518,4,4,,0.91,Male,Asian
6626,Rejected without Interview,513,4,4,,-1.5,Male,Asian
6628,Declined Admissions Offer,514,4,4,,0.81,Female,Asian
6635,Withdrew Application After Interview,518,4,4,,-0.29,Female,White/Caucasian
6639,Declined Admissions Offer,519,4,4,,0.66,Female,Asian
6652,Withdrew Application After Interview,519,4,4,,-0.06,Male,Asian
6658,Withdrew Application After Interview,519,4,4,,0.44,Male,Unreported
6670,Rejected without Interview,526,4,4,,0.33,Male,White/Caucasian
6676,Declined Admissions Offer,518,4,4,,1.16,Female,Multiple
6698,Rejected without Interview,515,4,4,,0,Male,Asian
6704,Withdrew Application After Interview,516,4,4,,0.84,Female,White/Caucasian
6714,Withdrew Application After Interview,525,4,4,,0.04,Male,Asian
6715,Withdrew Application After Interview,513,4,4,,-0.73,Female,Unreported
6719,Offered Admissions-Matriculated,514,4,4,,0.22,Female,White/Caucasian
6730,Rejected without Interview,515,4,4,,0.42,Male,White/Caucasian
6741,Declined Admissions Offer,521,4,4,,0.66,Male,Asian
6743,Withdrew Application After Interview,508,4,4,,-0.51,Male,Hispanic
6745,Declined Admissions Offer,519,4,4,,2.56,Male,Unreported
6757,Withdrew Application After Interview,512,4,4,,1.38,Female,White/Caucasian
6775,Rejected without Interview,517,4,4,,,Male,White/Caucasian
6776,Rejected without Interview,520,4,4,,-0.76,Female,Multiple
6781,Rejected without Interview,510,4,4,,0.07,Male,White/Caucasian
6793,Withdrew Application After Interview,515,4,4,,-0.37,Male,White/Caucasian
6795,Rejected without Interview,513,4,4,,-0.06,Female,Asian
6801,Declined Admissions Offer,520,4,4,,0.98,Female,White/Caucasian
