Entry Year,,,Status,,,Gender,,,,,,,,Ethnicity,,MCAT Highest Total,,,,,,,GPA‐Total,,Sci GPA
2022,,,AD,,,Male,,,,,,,,Asian,,513,,,,,,,4,,4
2022,,,AD,,,Female,,,,,,,,African American,,515,,,,,,,3.72,,3.45
2022,,,AD,,,Female,,,,,,,,White/Caucasian,,516,,,,,,,4,,4
2022,,,AD,,,Female,,,,,,,,Multiple,,511,,,,,,,3.72,,3.56
2022,,,AD,,,Female,,,,,,,,White/Caucasian,,519,,,,,,,3.96,,3.93
2022,,,AD,,,Female,,,,,,,,Multiple,,511,,,,,,,3.77,,3.55
2022,,,AD,,,Male,,,,,,,,White/Caucasian,,515,,,,,,,3.87,,3.74
2022,,,AD,,,Female,,,,,,,,White/Caucasian,,508,,,,,,,4,,4
2022,,,AD,,,Female,,,,,,,,White/Caucasian,,515,,,,,,,3.92,,3.9
2022,,,AD,,,Female,,,,,,,,African American,,502,,,,,,,3.17,,2.99
2022,,,AD,,,Female,,,,,,,,White/Caucasian,,518,,,,,,,3.45,,3.5
2022,,,AD,,,Male,,,,,,,,Multiple,,527,,,,,,,3.97,,4
2022,,,AD,,,Male,,,,,,,,Asian,,512,,,,,,,3.74,,3.76
2022,,,AD,,,Female,,,,,,,,Multiple,,514,,,,,,,3.84,,3.82
2022,,,AD,,,Female,,,,,,,,Hispanic,,515,,,,,,,4,,4
2022,,,AD,,,Male,,,,,,,,African American,,506,,,,,,,3.22,,3.01
2022,,,AD,,,Female,,,,,,,,White/Caucasian,,514,,,,,,,3.79,,3.72
2022,,,AD,,,Male,,,,,,,,Hispanic,,511,,,,,,,3.82,,3.81
2022,,,AD,,,Female,,,,,,,,Hispanic,,501,,,,,,,3.93,,3.96
2022,,,AD,,,Male,,,,,,,,White/Caucasian,,512,,,,,,,3.82,,3.89
2022,,,AD,,,Male,,,,,,,,Unreported,,518,,,,,,,3.64,,3.45
2022,,,AD,,,Female,,,,,,,,African American,,506,,,,,,,3.89,,3.86
2022,,,AD,,,Male,,,,,,,,Hispanic,,508,,,,,,,3.94,,3.91
2022,,,AD,,,Male,,,,,,,,African American,,507,,,,,,,3.8,,3.76
2022,,,AD,,,Male,,,,,,,,Asian,,513,,,,,,,3.87,,3.7
2022,,,AD,,,Female,,,,,,,,Multiple,,513,,,,,,,3.94,,3.89
2022,,,AD,,,Male,,,,,,,,Hispanic,,522,,,,,,,3.42,,3.31
2022,,,AD,,,Female,,,,,,,,Asian,,517,,,,,,,3.83,,3.71
2022,,,AD,,,Female,,,,,,,,Multiple,,513,,,,,,,4,,4
2022,,,AD,,,Female,,,,,,,,Hispanic,,513,,,,,,,3.64,,3.57
2022,,,AD,,,Female,,,,,,,,White/Caucasian,,508,,,,,,,4,,4
2022,,,AD,,,Male,,,,,,,,White/Caucasian,,518,,,,,,,3.87,,3.78
2022,,,AD,,,Male,,,,,,,,White/Caucasian,,510,,,,,,,3.74,,3.55
2022,,AD,,,Male,,,,,,,White/Caucasian,,,,,512,,,,,3.7,,3.73,
2022,,AD,,,Female,,,,,,,White/Caucasian,,,,,507,,,,,3.64,,3.57,
2022,,AD,,,Female,,,,,,,White/Caucasian,,,,,501,,,,,3.97,,3.94,
2022,,AD,,,Male,,,,,,,Multiple,,,,,507,,,,,3.76,,3.54,
2022,,AD,,,Male,,,,,,,White/Caucasian,,,,,512,,,,,3.9,,3.82,
2022,,AD,,,Male,,,,,,,Multiple,,,,,521,,,,,3.93,,3.96,
2022,,AD,,,Female,,,,,,,Hispanic,,,,,515,,,,,3.82,,3.69,
2022,,AD,,,Female,,,,,,,Asian,,,,,518,,,,,3.96,,4,
2022,,AD,,,Female,,,,,,,African American,,,,,507,,,,,3.29,,3.23,
2022,,AD,,,Female,,,,,,,Hispanic,,,,,525,,,,,4,,4,
2022,,AD,,,Male,,,,,,,White/Caucasian,,,,,503,,,,,3.67,,3.55,
2022,,AD,,,Male,,,,,,,White/Caucasian,,,,,515,,,,,3.97,,3.96,
2022,,AD,,,Female,,,,,,,Hispanic,,,,,509,,,,,3.8,,3.73,
2022,,AD,,,Male,,,,,,,Multiple,,,,,504,,,,,3.61,,3.46,
2022,,AD,,,Female,,,,,,,White/Caucasian,,,,,518,,,,,3.98,,3.95,
2022,,AD,,,Male,,,,,,,Multiple,,,,,520,,,,,4,,4,
2022,,AD,,,Female,,,,,,,African American,,,,,510,,,,,3.72,,3.35,
2022,,AD,,,Female,,,,,,,White/Caucasian,,,,,513,,,,,3.81,,3.8,
2022,,AD,,,Female,,,,,,,White/Caucasian,,,,,520,,,,,4,,4,
2022,,AD,,,Male,,,,,,,Asian,,,,,515,,,,,3.63,,3.56,
2022,,AD,,,Male,,,,,,,Multiple,,,,,512,,,,,4,,4,
2022,,AD,,,Male,,,,,,,White/Caucasian,,,,,521,,,,,4,,4,
2022,,AD,,,Male,,,,,,,White/Caucasian,,,,,518,,,,,3.9,,3.83,
2022,,AD,,,Female,,,,,,,Hispanic,,,,,512,,,,,4,,4,
2022,,AD,,,Male,,,,,,,White/Caucasian,,,,,514,,,,,3.06,,3.11,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,513,,,,,3.89,,3.83,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.98,,4,
2022,,MA,,,Male,,,,,,,Unreported,,,,,515,,,,,4,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,518,,,,,3.83,,3.74,
2022,,MA,,,Female,,,,,,,Asian,,,,,505,,,,,3.82,,3.63,
2022,,MA,,,Female,,,,,,,African American,,,,,509,,,,,3.89,,3.72,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,509,,,,,3.98,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,513,,,,,3.76,,3.59,
2022,,MA,,,Male,,,,,,,Asian,,,,,510,,,,,3.87,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,505,,,,,3.68,,3.62,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,514,,,,,3.53,,3.44,
2022,,MA,,,Female,,,,,,,Asian,,,,,514,,,,,3.99,,3.98,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,4,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,506,,,,,3.69,,3.44,
2022,,MA,,,Female,,,,,,,Asian,,,,,514,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,522,,,,,3.93,,3.86,
2022,,MA,,,Male,,,,,,,Asian,,,,,523,,,,,3.85,,3.76,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,520,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,513,,,,,3.88,,3.82,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,510,,,,,3.63,,3.46,
2022,,MA,,,Male,,,,,,,Multiple,,,,,507,,,,,3.84,,3.81,
2022,,MA,,,Male,,,,,,,Unreported,,,,,510,,,,,3.75,,3.67,
2022,,MA,,,Male,,,,,,,,,,,,514,,,,,3.68,,3.62,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,511,,,,,3.79,,3.63,
2022,,MA,,,Male,,,,,,,Multiple,,,,,507,,,,,3.82,,3.87,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,513,,,,,3.84,,3.69,
2022,,MA,,,Female,,,,,,,Unreported,,,,,521,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,515,,,,,3.49,,3.21,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.88,,3.84,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.97,,3.95,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,511,,,,,3.84,,3.78,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,508,,,,,3.67,,3.51,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,513,,,,,3.96,,3.93,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,504,,,,,3.87,,3.88,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,508,,,,,3.82,,3.67,
2022,,MA,,,Female,,,,,,,Asian,,,,,513,,,,,3.87,,3.83,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,506,,,,,3.9,,3.96,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,509,,,,,3.44,,3.81,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,506,,,,,4,,4,
2022,,MA,,,Male,,,,,,,Asian,,,,,518,,,,,3.77,,3.68,
2022,,MA,,,Female,,,,,,,Asian,,,,,518,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,509,,,,,3.92,,3.82,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,514,,,,,3.92,,3.89,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,514,,,,,3.75,,3.7,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.85,,3.77,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,515,,,,,3.97,,3.96,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,517,,,,,3.74,,3.66,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,505,,,,,3.59,,3.28,
2022,,MA,,,Female,,,,,,,Asian,,,,,515,,,,,3.74,,3.59,
2022,,MA,,,Male,,,,,,,Asian,,,,,517,,,,,3.74,,3.5,
2022,,MA,,,Male,,,,,,,Asian,,,,,514,,,,,3.95,,3.95,
2022,,MA,,,Male,,,,,,,Asian,,,,,517,,,,,3.94,,3.95,
2022,,MA,,,Male,,,,,,,Unreported,,,,,515,,,,,3.63,,3.38,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,518,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,506,,,,,3.89,,3.79,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,511,,,,,3.97,,3.96,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,511,,,,,3.87,,3.82,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,511,,,,,3.89,,3.85,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,519,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.87,,3.65,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,507,,,,,3.94,,3.94,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,509,,,,,3.79,,3.54,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.84,,3.78,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,504,,,,,3.9,,3.87,
2022,,MA,,,Male,,,,,,,African American,,,,,508,,,,,3.75,,3.7,
2022,,MA,,,Male,,,,,,,African American,,,,,500,,,,,3.58,,3.38,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,518,,,,,3.71,,3.53,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,525,,,,,3.98,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,513,,,,,3.97,,3.97,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,509,,,,,3.91,,3.94,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,506,,,,,3.98,,3.95,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,506,,,,,3.77,,3.71,
2022,,MA,,,Male,,,,,,,Asian,,,,,516,,,,,3.95,,3.93,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,515,,,,,3.89,,3.74,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,501,,,,,3.77,,3.9,
2022,,MA,,,Female,,,,,,,,,,,,504,,,,,3.97,,3.95,
2022,,MA,,,Male,,,,,,,Asian,,,,,516,,,,,3.84,,3.83,
2022,,MA,,,Male,,,,,,,Asian,,,,,514,,,,,3.92,,3.95,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,509,,,,,3.92,,3.89,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,518,,,,,3.88,,3.86,
2022,,MA,,,Male,,,,,,,Multiple,,,,,527,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,509,,,,,3.92,,3.85,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.88,,3.81,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,510,,,,,3.97,,3.94,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,504,,,,,3.63,,3.51,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,515,,,,,3.82,,3.74,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,511,,,,,3.81,,3.79,
2022,,MA,,,Female,,,,,,,African American,,,,,503,,,,,3.6,,3.48,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,508,,,,,3.94,,3.9,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,506,,,,,3.32,,3.5,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,510,,,,,3.88,,3.83,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,514,,,,,3.62,,3.51,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.95,,3.94,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,512,,,,,3.92,,3.96,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,516,,,,,3.83,,3.71,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,516,,,,,3.56,,3.31,
2022,,MA,,,Male,,,,,,,Asian,,,,,515,,,,,3.87,,3.78,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,516,,,,,4,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,512,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,516,,,,,3.95,,3.86,
2022,,MA,,,Female,,,,,,,African American,,,,,506,,,,,3.74,,3.56,
2022,,MA,,,Female,,,,,,,Asian,,,,,511,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,511,,,,,3.82,,3.76,
2022,,MA,,,Male,,,,,,,Asian,,,,,514,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,512,,,,,3.93,,3.88,
2022,,MA,,,Male,,,,,,,Asian,,,,,521,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,502,,,,,3.84,,3.81,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.91,,3.89,
2022,,MA,,,Male,,,,,,,,,,,,525,,,,,3.99,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,512,,,,,3.73,,3.6,
2022,,MA,,,Female,,,,,,,Asian,,,,,515,,,,,3.68,,3.3,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,506,,,,,3.96,,3.97,
2022,,MA,,,Female,,,,,,,Asian,,,,,514,,,,,3.72,,3.45,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.78,,3.6,
2022,,MA,,,Male,,,,,,,Unreported,,,,,509,,,,,3.95,,3.89,
2022,,MA,,,Male,,,,,,,,,,,,516,,,,,3.98,,3.97,
2022,,MA,,,Female,,,,,,,Asian,,,,,511,,,,,3.66,,3.5,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.83,,3.76,
2022,,MA,,,Female,,,,,,,Asian,,,,,509,,,,,3.97,,3.94,
2022,,MA,,,Male,,,,,,,Asian,,,,,518,,,,,3.95,,3.87,
