Entry Year,Gender,Ethnicity,Overall GPA,Overall Science GPA,MCAT Highest,Final Status
2021,Female,Hispanic,3.66,3.43,506,AD
2021,Male,Unreported,3.88,3.8,515,AD
2021,Male,White/Caucasian,3.74,3.56,515,AD
2021,Female,Asian,3.94,3.86,509,AD
2021,Male,Asian,3.83,3.73,515,AD
2021,Male,White/Caucasian,3.84,3.81,510,AD
2021,Male,White/Caucasian,3.92,3.86,517,AD
2021,Male,White/Caucasian,3.91,3.92,515,AD
2021,Female,Hispanic,3.92,3.74,515,AD
2021,Male,Hispanic,3.52,3.41,511,AD
2021,Male,Asian,4,4,518,AD
2021,Female,White/Caucasian,4,4,514,AD
2021,Female,Asian,4,4,519,AD
2021,Female,White/Caucasian,3.9,3.85,511,AD
2021,Male,Hispanic,3.96,3.98,520,AD
2021,Male,White/Caucasian,3.98,4,523,AD
2021,Male,Asian,3.97,4,513,AD
2021,Female,Hispanic,3.96,3.92,507,AD
2021,Female,White/Caucasian,4,4,512,AD
2021,Female,Asian,3.71,3.6,511,AD
2021,Male,Asian,4,4,515,AD
2021,Male,Hispanic,3.92,3.88,511,AD
2021,Female,Asian,3.98,4,522,AD
2021,Female,Asian,3.98,4,512,AD
2021,Male,White/Caucasian,4,4,516,AD
2021,Male,White/Caucasian,4,4,509,AD
2021,Male,Asian,3.97,4,522,AD
2021,Female,White/Caucasian,3.97,3.95,510,AD
2021,Male,Asian,3.84,4,519,AD
2021,Female,White/Caucasian,3.83,3.66,511,AD
2021,Male,Asian,4,4,524,AD
2021,Male,White/Caucasian,3.92,3.79,508,AD
2021,Female,Asian,4,4,514,AD
2021,Male,Unreported,4,4,522,AD
2021,Male,White/Caucasian,4,4,518,AD
2021,Female,Hispanic,3.84,3.85,516,AD
2021,Male,Hispanic,3.62,3.4,513,AD
2021,Male,Multiple,4,4,521,AD
2021,Male,African American,3.6,3.45,509,AD
2021,Female,Hispanic,3.65,3.18,506,AD
2021,Female,African American,3.81,3.7,507,AD
2021,Male,White/Caucasian,4,4,520,AD
2021,Female,African American,3.91,3.89,507,AD
2021,Male,White/Caucasian,4,4,519,AD
2021,Male,White/Caucasian,3.9,3.9,522,AD
2021,Male,White/Caucasian,3.98,3.95,522,AD
2021,Male,White/Caucasian,4,4,514,AD
2021,Male,Hispanic,3.74,3.55,519,AD
2021,Male,White/Caucasian,3.83,3.79,515,AD
2021,Male,White/Caucasian,4,4,523,AD
2021,Male,White/Caucasian,3.87,3.68,517,AD
2021,Male,Hispanic,3.85,3.76,513,AD
2021,Male,White,3.84,3.79,511,MA
2021,Female,White,3.97,3.94,518,MA
2021,Male,Asian,3.91,3.91,522,MA
2021,Female,"Hispanic, Latino, or of Spanish origin; Mexican/Chicano",3.72,3.63,504,MA
2021,Male,Asian,3.45,3.48,517,MA
2021,Male,Hispanic,3.42,3.28,515,MA
2021,Male,Hispanic,3.64,3.39,508,MA
2021,Male,African American,3.76,3.74,508,MA
2021,Male,Hispanic,3.92,3.89,507,MA
2021,Male,Hispanic,3.7,4,507,MA
2021,Female,White/Caucasian,3.76,3.67,514,MA
2021,Female,Hispanic,3.77,3.81,510,MA
2021,Male,White/Caucasian,3.82,3.67,504,MA
2021,Female,Hispanic,3.94,3.91,519,MA
2021,Male,Hispanic,3.74,3.9,507,MA
2021,Female,African American,3.69,3.68,504,MA
2021,Female,Hispanic,3.94,3.94,503,MA
2021,Female,Hispanic,3.97,4,511,MA
2021,Male,African American,3.72,3.64,507,MA
2021,Male,Hispanic,3.84,3.87,505,MA
2021,Male,Asian,3.96,3.93,507,MA
2021,Female,African American,3.81,3.75,506,MA
2021,Female,Hispanic,3.98,3.94,509,MA
2021,Female,Hispanic,3.73,3.63,505,MA
2021,Female,Hispanic,3.89,3.87,508,MA
2021,Female,White/Caucasian,3.69,3.58,511,MA
2021,Male,Hispanic,3.98,4,511,MA
2021,Female,Hispanic,3.93,3.89,507,MA
2021,Female,Asian,3.97,4,507,MA
2021,Male,African American,3.85,3.83,506,MA
2021,Male,Hispanic,3.89,3.8,513,MA
2021,Male,White/Caucasian,3.99,3.99,511,MA
2021,Female,Hispanic,3.7,3.63,503,MA
