gender,status,JAMP,Ethnicity,GPA_O,GPA_S,GPA_G,highest_mcat_2015,CASPer Score
Female,RB,N,White/Caucasian,3.6,3.37,0,507,
Female,RB,N,White/Caucasian,3.4,3.4,3.64,518,-0.99
Male,RB,N,Hispanic,3.2,3.27,4,511,-1.1
Female,RB,N,African American,4,4,0,503,-1.35
Female,RB,N,African American,3.79,3.78,0,496,-0.61
Male,RB,N,African American,3.24,2.95,0,486,-2.25
Female,RB,N,Asian,3.22,3.01,3.35,504,-0.52
Male,WM,N,Asian,3.97,4,0,517,0.54
Female,RB,N,African American,3.95,3.96,0,496,-1.63
Female,RB,N,White/Caucasian,3.94,3.94,0,513,0.2
Female,RB,N,Asian,3.54,3.44,4,514,
Female,WA,N,White/Caucasian,4,4,0,522,1.28
Male,RB,N,White/Caucasian,3.29,3.21,0,,
Female,RB,N,Hispanic,3.88,3.87,3.92,499,
Male,RB,N,White/Caucasian,3.47,3.13,0,498,
Female,RB,N,White/Caucasian,3.85,3.78,3.43,510,0.21
Male,RB,N,Hispanic,3.42,3.31,3.41,,
Female,RB,N,African American,3.27,3.12,3.34,510,-0.13
Male,RB,N,Multiple,3.85,3.81,0,507,-1.63
Male,RB,N,White/Caucasian,3.15,3.05,3,515,-0.06
Female,RAI,N,Unreported,3.96,3.93,0,512,1.19
Female,RB,N,Asian,3.93,3.9,0,509,
Female,WM,Y,Hispanic,3.95,3.88,0,503,-0.32
Male,RB,N,White/Caucasian,2.58,2.21,3,,
Male,RB,N,Hispanic,3.36,3.17,3.34,495,-0.54
Female,RB,N,White/Caucasian,3.96,3.94,0,508,-0.41
Female,RB,N,Asian,3.4,3.3,0,497,-0.43
Male,RB,N,Asian,3.54,3.44,3.61,514,-0.71
Male,RB,N,Asian,3.67,3.45,0,510,-0.6
Male,RB,N,White/Caucasian,3.9,3.89,4,508,0.36
Male,RB,N,White/Caucasian,3,2.9,0,505,-0.58
Female,RB,N,Asian,3.65,3.51,3.96,499,1.35
Female,RB,N,Asian,3.52,3.15,0,498,0.8
Female,RB,N,White/Caucasian,3.72,3.54,0,503,-1.11
Female,RB,N,White/Caucasian,3.96,3.93,0,,
Male,RB,N,Asian,4,4,0,,
Female,RB,N,White/Caucasian,3.55,3.35,0,511,0.39
Female,RB,N,White/Caucasian,3.94,3.86,0,506,1.03
Female,RB,N,African American,3.44,3.23,4,507,-0.14
Female,RB,N,Hispanic,3.41,3.1,0,497,-0.93
Male,RB,N,Asian,3.92,3.84,0,503,
Female,RB,N,Asian,3.19,2.73,0,502,0.59
Female,RB,N,Hispanic,3.44,3.18,0,508,
Female,RB,N,White/Caucasian,3.86,3.71,0,496,0.28
Female,RB,N,White/Caucasian,3.13,2.83,3.5,497,-0.83
Male,RB,N,White/Caucasian,3.45,3.27,4,506,-0.23
Female,RB,N,White/Caucasian,4,4,0,500,-1.06
Female,RB,N,White/Caucasian,3.68,3.48,0,,
Male,RB,N,White/Caucasian,3.23,3.03,3.53,502,0.77
